Date,G10001,P10100,P10101,P11100,P10200,P10201,P10004,T10000,G10101,G103001,T101100,T10101,T10005,F101000,F102000,G115001,G115011,M12070,M12071,M12072
11/08/16 15:55:21, 2510, 2510, 2510, 2510, 2510, 2510, 2510, 2510, 2510,12600, 251.00, 251.00, 251.00, 251.00, 251.00, 251.00, 251.00, 251.00, 251.00, 251.00
11/08/16 15:55:22, 2515, 2515, 2515, 2515, 2515, 2515, 2515, 2515, 2515,12605, 251.50, 251.50, 251.50, 251.50, 251.50, 251.50, 251.50, 251.50, 251.50, 251.50
11/08/16 15:55:50, 2585, 2585, 2585, 2585, 2585, 2585, 2585, 2585, 2585,12675, 258.50, 258.50, 258.50, 258.50, 258.50, 258.50, 258.50, 258.50, 258.50, 258.50
11/08/16 15:55:52, 2590, 2590, 2590, 2590, 2590, 2590, 2590, 2590, 2590,12680, 259.00, 259.00, 259.00, 259.00, 259.00, 259.00, 259.00, 259.00, 259.00, 259.00
11/08/16 15:55:54, 2595, 2595, 2595, 2595, 2595, 2595, 2595, 2595, 2595,12685, 259.50, 259.50, 259.50, 259.50, 259.50, 259.50, 259.50, 259.50, 259.50, 259.50
11/08/16 15:55:56, 2600, 2600, 2600, 2600, 2600, 2600, 2600, 2600, 2600,12690, 260.00, 260.00, 260.00, 260.00, 260.00, 260.00, 260.00, 260.00, 260.00, 260.00
11/08/16 15:55:58, 2605, 2605, 2605, 2605, 2605, 2605, 2605, 2605, 2605,12695, 260.50, 260.50, 260.50, 260.50, 260.50, 260.50, 260.50, 260.50, 260.50, 260.50
11/08/16 15:56:00, 2610, 2610, 2610, 2610, 2610, 2610, 2610, 2610, 2610,12700, 261.00, 261.00, 261.00, 261.00, 261.00, 261.00, 261.00, 261.00, 261.00, 261.00
11/08/16 15:56:02, 2615, 2615, 2615, 2615, 2615, 2615, 2615, 2615, 2615,12705, 261.50, 261.50, 261.50, 261.50, 261.50, 261.50, 261.50, 261.50, 261.50, 261.50
11/08/16 15:56:04, 2620, 2620, 2620, 2620, 2620, 2620, 2620, 2620, 2620,12710, 262.00, 262.00, 262.00, 262.00, 262.00, 262.00, 262.00, 262.00, 262.00, 262.00
